"Date","transaction_catg_renamed","transaction_catg_dts","Daily","Weekly","7-day moving average"
2024-02-14,"Total","Total",45.037,174.407,19.366
2024-02-15,"Total","Total",80.748,174.407,28.671
2024-02-16,"Total","Total",17.332,174.407,28.92
2024-02-20,"Total","Total",18.316,154.995,29.261
2024-02-21,"Total","Total",44.373,154.995,33.871
2024-02-22,"Total","Total",73.541,154.995,42.463
2024-02-23,"Total","Total",18.765,154.995,42.587
2024-02-26,"Total","Total",15.901,250.19,38.425
2024-02-27,"Total","Total",19.055,250.19,29.612
2024-02-28,"Total","Total",55.981,250.19,35.133
2024-02-29,"Total","Total",30.909,250.19,36.932
2024-03-01,"Total","Total",128.344,250.19,48.928
2024-03-04,"Total","Total",18.775,94.177,41.104
2024-03-05,"Total","Total",18.988,94.177,41.136
2024-03-06,"Total","Total",25.233,94.177,42.469
2024-03-07,"Total","Total",14.496,94.177,41.818
2024-03-08,"Total","Total",16.685,94.177,36.204
2024-03-11,"Total","Total",14.722,132.993,33.892
2024-03-12,"Total","Total",21.371,132.993,18.61
2024-03-13,"Total","Total",51.595,132.993,23.299
2024-03-14,"Total","Total",17.361,132.993,23.066
2024-03-15,"Total","Total",27.944,132.993,23.453
2024-03-18,"Total","Total",16.779,124.954,23.78
2024-03-19,"Total","Total",16.665,124.954,23.777
2024-03-20,"Total","Total",48.536,124.954,28.607
2024-03-21,"Total","Total",27.603,124.954,29.498
2024-03-22,"Total","Total",15.371,124.954,24.323
2024-03-25,"Total","Total",14.262,114.599,23.88
2024-03-26,"Total","Total",12.771,114.599,21.712
2024-03-27,"Total","Total",50.301,114.599,26.501
2024-03-28,"Total","Total",15.832,114.599,26.382
2024-03-29,"Total","Total",21.433,114.599,22.51
2024-04-01,"Total","Total",116.37,207.797,35.191
2024-04-02,"Total","Total",16.337,207.797,35.329
2024-04-03,"Total","Total",46.11,207.797,39.879
2024-04-04,"Total","Total",14.595,207.797,40.14
2024-04-05,"Total","Total",14.385,207.797,35.009
2024-04-08,"Total","Total",14.888,113.393,34.874
2024-04-09,"Total","Total",14.369,113.393,33.865
